Date ,Payment to ,Received,Expense,Balance
21/07/2026,Adv Shilpa ,,250,135
22/07/2026,Funds Added ,8000,,8135
22/07/2026,HR Phone Recharge ,,450,7685
23/07/2026,Adv ,,250,7435
23/07/2026,Moraya reel boost ,,230,7205
23/07/2026,Moraya reel boost ,,230,6975
23/07/2026,SAARRV,,210,6765
23/07/2026,Travel Expense to sudarshan ,,1000,5765
23/07/2026,Moraya shoot payent to Amol ,,1500,4265
23/07/2026,Kitchen Canvas boost ,,250,4015
24/07/2026,Moraya ,,230,3785
24/07/2026,Bakul,,230,3555
27/07/2026,Office Phone Recharge ,,299,3256
27/07/2026,Moraya ,,250,3006
29/07/2026,adv,,250,2756
30/07/2026,Others ,,360,2396
31/07/2026,Bakul Reel ,,250,2146
02/08/2026,Kitchen Canvas boost ,,250,1896
03/08/2026,Dr Rajiv Boost ,,500,1396
04/08/2026,Moraya hospital ,,221,1175
07/08/2026,Naukri ,,2950,-1775
08/08/2026,Office mavshi payment ,,1500,-3275
10/08/2026,Sanskruti Meta Ads ,,1000,-4275
10/08/2026,Puvesh Salary ,,6720,-10995
11/08/2026,Pix Hub ,,350,-11345
12/08/2026,Funds Added ,20000,,8655
12/08/2026,Amol payment mecideces event ,,1500,7155
13/08/2026,IT team Course ,,565,6590
13/08/2026,IT team Course ,,884,5706
14/08/2026,Sanskruti meta ads ,,700,5006
15/08/2026,Kitchen Canvas boost ,,250,4756
16/08/2026,Bakul shoot Payment  ,,1500,3256
17/08/2026,Bakul shoot Payment  (Adesh ),,2000,1256
17/08/2026,Sanskruti boost ,,250,1006
18/08/2026,Funds Added ,10000,,11006
18/08/2026,Saarrv,,1000,10006
22/08/2026,Funds Added ,14800,,24806
22/08/2026,Dr madhu domain hosting ,,7210,17596
23/08/2026,Repayment to nitin sir ,,12000,5596
24/08/2026,SAARRV Bosst ,,1000,4596
24/08/2026,Office Phone Recharge ,,299,4297
24/08/2026,Adv shilpa boost ,,250,4047
27/08/2026,Dr Rajiv and moraya boost ,,450,3597
27/08/2026,SAARRV Bosst ,,1000,2597
27/08/2026,Courses (Selina sanika adarsh ),,1500,1097
28/08/2026,Shriraj Ayurved domain,,1236,-139
28/08/2026,Shriraj Ayurved hosting ,,2252,-2391
28/08/2026,adv shilps boost,,250,-2641
02/09/2026,Room Freshner ,,498,-3139
02/09/2026,Funds Added ,10000,,6861
04/09/2026,Naurki Subscription ,,2950,3911
04/09/2026,Ganpati Bappa Vargani ,,501,3410
04/09/2026,Funds Added ,9000,,12410
04/09/2026,Water Payment ,,1350,11060
05/09/2026,Office mavshi payment ,,1500,9560
10/09/2026,Pix Hub ,,350,9210
12/09/2026,Bakul reel ,,250,8960
14/09/2026,Office Tea ,,100,8860
14/09/2026,Regain Meta Ads ,,2000,6860
